Barrio;Anio;Trimestre;Valor;Ambientes
Almagro;2024;1;268265.35;1
Balvanera;2024;1;256536.99;1
Belgrano;2024;1;301984.02;1
Caballito;2024;1;277842.46;1
Flores;2024;1;238558.79;1
Núñez;2024;1;294696.13;1
Palermo;2024;1;322704.57;1
Recoleta;2024;1;289720.81;1
San Nicolás;2024;1;252339.74;1
Villa Crespo;2024;1;280438.65;1
Villa Urquiza;2024;1;275455.12;1
Almagro;2024;2;293104.85;1
Balvanera;2024;2;271714.77;1
Belgrano;2024;2;318617.49;1
Caballito;2024;2;298492.79;1
Flores;2024;2;262184.21;1
Núñez;2024;2;324263.36;1
Palermo;2024;2;327685.45;1
Recoleta;2024;2;317041.51;1
San Nicolás;2024;2;264580.76;1
Villa Crespo;2024;2;289402.51;1
Villa Urquiza;2024;2;290083.97;1
Almagro;2024;3;320702.02;1
Balvanera;2024;3;306852.72;1
Belgrano;2024;3;360503.88;1
Caballito;2024;3;323325.61;1
Flores;2024;3;285666.48;1
Núñez;2024;3;353459.51;1
Palermo;2024;3;363800.1;1
Recoleta;2024;3;341100.04;1
San Nicolás;2024;3;306840.06;1
Villa Crespo;2024;3;332968.89;1
Villa Urquiza;2024;3;324907.6;1
Almagro;2024;4;356484.75;1
Balvanera;2024;4;333382.43;1
Belgrano;2024;4;390025.67;1
Caballito;2024;4;360092.39;1
Flores;2024;4;310470.87;1
Núñez;2024;4;391995.16;1
Palermo;2024;4;387866.36;1
Recoleta;2024;4;366026.77;1
San Nicolás;2024;4;317364.3;1
Villa Crespo;2024;4;379900.65;1
Villa Urquiza;2024;4;362391.9;1
Almagro;2025;1;401996.79;1
Balvanera;2025;1;380969;1
Belgrano;2025;1;410945.25;1
Caballito;2025;1;398580.27;1
Flores;2025;1;369885.3;1
Núñez;2025;1;414632.27;1
Palermo;2025;1;436750.5;1
Recoleta;2025;1;407982.31;1
San Nicolás;2025;1;374835.8;1
Villa Crespo;2025;1;398234.88;1
Villa Urquiza;2025;1;389415.02;1
Almagro;2025;2;419303.42;1
Balvanera;2025;2;388162.87;1
Belgrano;2025;2;464819.07;1
